z($\mu m$)	Generation Rate G(n/cm3)
0.0	1.0518849269557851e+22
1.25e-06	1.0354150201921108e+22
2.5e-06	1.0193079500665203e+22
3.7500000000000005e-06	1.0035552089317896e+22
5e-06	9.881483478359643e+21
6.25e-06	9.730751289880597e+21
7.500000000000001e-06	9.583294590611458e+21
8.750000000000001e-06	9.439012008010596e+21
1e-05	9.297812346517699e+21
1.125e-05	9.159621757744493e+21
1.25e-05	9.024358885907263e+21
1.375e-05	8.891938366708164e+21
1.5000000000000002e-05	8.762304275747391e+21
1.6250000000000002e-05	8.63535639155222e+21
1.7500000000000002e-05	8.511039214356996e+21
1.8750000000000002e-05	8.389295982491692e+21
2e-05	8.270040094759559e+21
2.125e-05	8.153220959712941e+21
2.25e-05	8.03876224048924e+21
2.375e-05	7.92661077173005e+21
2.5e-05	7.816726799885587e+21
2.625e-05	7.709015394116011e+21
2.75e-05	7.603449454138957e+21
2.875e-05	7.499961919436282e+21
3.0000000000000004e-05	7.398500660741924e+21
3.125e-05	7.299022589273258e+21
3.2500000000000004e-05	7.201479361850823e+21
3.375e-05	7.105809472921038e+21
3.5000000000000004e-05	7.011992986118154e+21
3.625e-05	6.919948679119743e+21
3.7500000000000003e-05	6.829664951734496e+21
3.875e-05	6.741083349358264e+21
4e-05	6.654156559426866e+21
4.1250000000000007e-05	6.568863627281603e+21
4.25e-05	6.48515913865164e+21
4.3750000000000006e-05	6.402996771298007e+21
4.5e-05	6.322345378550373e+21
4.6250000000000006e-05	6.243154983061499e+21
4.75e-05	6.165430146421749e+21
4.8750000000000006e-05	6.089090100383778e+21
5e-05	6.014142676150389e+21
5.1250000000000006e-05	5.940525951918131e+21
5.25e-05	5.868215143475035e+21
5.3750000000000005e-05	5.797197817596417e+21
5.5e-05	5.727430357930876e+21
5.6250000000000005e-05	5.658880403167034e+21
5.75e-05	5.591531268915393e+21
5.8750000000000005e-05	5.525346629379412e+21
6.000000000000001e-05	5.460296150328729e+21
6.125000000000001e-05	5.39637330813146e+21
6.25e-05	5.333538115056566e+21
6.375e-05	5.271765716777672e+21
6.500000000000001e-05	5.211047289132528e+21
6.625000000000001e-05	5.151345083514542e+21
6.75e-05	5.092636910162934e+21
6.875e-05	5.034908738696591e+21
7.000000000000001e-05	4.978136973263364e+21
7.125000000000001e-05	4.922308315513838e+21
7.25e-05	4.867396166634973e+21
7.375e-05	4.813361216299953e+21
7.500000000000001e-05	4.760222850084251e+21
7.625000000000001e-05	4.7079346817408025e+21
7.75e-05	4.656482854843462e+21
7.875e-05	4.6058551729937397e+21
8e-05	4.5560420022238e+21
8.125000000000001e-05	4.507011160990728e+21
8.250000000000001e-05	4.4587523281954123e+21
8.375e-05	4.411246003038392e+21
8.5e-05	4.364489892880514e+21
8.625000000000001e-05	4.3184672359208143e+21
8.750000000000001e-05	4.2731514819611627e+21
8.875e-05	4.228524532902758e+21
9e-05	4.1845804979097877e+21
9.125000000000001e-05	4.1413097794293234e+21
9.250000000000001e-05	4.098706521536971e+21
9.375e-05	4.0567306174374567e+21
9.5e-05	4.015389536101323e+21
9.625000000000001e-05	3.974669276061022e+21
9.750000000000001e-05	3.934552331755367e+21
9.875e-05	3.895041852221498e+21
0.0001	3.8561102610735274e+21
0.00010125000000000001	3.8177432274690585e+21
0.00010250000000000001	3.7799436762653393e+21
0.00010375000000000001	3.7426979195741756e+21
0.000105	3.705985023017459e+21
0.00010625000000000001	3.669798717146766e+21
0.00010750000000000001	3.6341572874546127e+21
0.00010875000000000001	3.598993974340741e+21
0.00011	3.5643457822093586e+21
0.00011125000000000001	3.5301972389435026e+21
0.00011250000000000001	3.4965199924835826e+21
0.00011375000000000001	3.4633196276956843e+21
0.000115	3.430585953492717e+21
0.00011625	3.3982986726846465e+21
0.00011750000000000001	3.366473176548045e+21
0.00011875000000000001	3.335081681253162e+21
0.00012000000000000002	3.304115891365029e+21
0.00012125	3.2735942991245046e+21
0.00012250000000000002	3.2434765300739064e+21
0.00012375	3.21377370384857e+21
0.000125	3.1844656700487636e+21
0.00012625	3.15556209383295e+21
0.0001275	3.1270426291803385e+21
0.00012875	3.098900530337966e+21
0.00013000000000000002	3.071145038301431e+21
0.00013125000000000002	3.0437648603283624e+21
0.00013250000000000002	3.0167284567032746e+21
0.00013375	2.990065805572976e+21
0.000135	2.9637363843744127e+21
0.00013625	2.937757250744426e+21
0.0001375	2.912127213216775e+21
0.00013875	2.886816318994945e+21
0.00014000000000000001	2.861844062939307e+21
0.00014125000000000002	2.837181058735468e+21
0.00014250000000000002	2.812848982991768e+21
0.00014375000000000002	2.788824156446879e+21
0.000145	2.7651041235167787e+21
0.00014625	2.7416918460631545e+21
0.0001475	2.7185671296392825e+21
0.00014875	2.6957348804866857e+21
0.00015000000000000001	2.673200804671717e+21
0.00015125000000000002	2.650936699856276e+21
0.00015250000000000002	2.628964199173724e+21
0.00015375000000000002	2.6072658664987097e+21
0.000155	2.585827787482248e+21
0.00015625	2.56465376738638e+21
0.0001575	2.5437449671163673e+21
0.00015875	2.5230954258787053e+21
0.00016	2.502687806226495e+21
0.00016125000000000002	2.4825444425087247e+21
0.00016250000000000002	2.462643521278314e+21
0.00016375000000000002	2.4429756377631456e+21
0.00016500000000000003	2.4235290784435856e+21
0.00016625	2.404354802103234e+21
0.0001675	2.385384699837422e+21
0.00016875	2.3666564418197284e+21
0.00017	2.3481478477169387e+21
0.00017125000000000002	2.3298756051878973e+21
0.00017250000000000002	2.3118057935859863e+21
0.00017375000000000002	2.29393862031241e+21
0.00017500000000000003	2.2763071249537795e+21
0.00017625	2.2588587524116932e+21
0.0001775	2.2416395154361017e+21
0.00017875	2.2246037081843837e+21
0.00018	2.2077667737957976e+21
0.00018125000000000001	2.1911449167308537e+21
0.00018250000000000002	2.174699999186929e+21
0.00018375000000000002	2.158440280573947e+21
0.00018500000000000002	2.1423824236597446e+21
0.00018625000000000003	2.1265081200464751e+21
0.0001875	2.1108145869978143e+21
0.00018875	2.0953028530037918e+21
0.00019	2.0799585484355946e+21
0.00019125000000000001	2.0648030103334287e+21
0.00019250000000000002	2.0498273101585902e+21
0.00019375000000000002	2.0349990692684473e+21
0.00019500000000000002	2.0203535077047796e+21
0.00019625000000000003	2.00586445041548e+21
0.0001975	1.9915536391472467e+21
0.00019875	1.9773860443043505e+21
0.0002	1.9633900910275652e+21
0.00020125	1.94955032107678e+21
0.00020250000000000002	1.9358613183015402e+21
0.00020375000000000002	1.9223268224422382e+21
0.00020500000000000002	1.9089495204877736e+21
0.00020625000000000003	1.895693823401791e+21
0.00020750000000000003	1.8826329828276586e+21
0.00020875	1.869680627878596e+21
0.00021	1.8568795201329037e+21
0.00021125	1.8442292076099317e+21
0.00021250000000000002	1.831701687810259e+21
0.00021375000000000002	1.8193178493847947e+21
0.00021500000000000002	1.8070696655707675e+21
0.00021625000000000003	1.7949700982368478e+21
0.00021750000000000003	1.7829742859170205e+21
0.00021875	1.7711154289212688e+21
0.00022	1.7593941106453287e+21
0.00022125	1.7478032711784118e+21
0.00022250000000000001	1.7363289769588708e+21
0.00022375000000000002	1.7249982731491706e+21
0.00022500000000000002	1.71378030755095e+21
0.00022625000000000002	1.7026663255222497e+21
0.00022750000000000003	1.69169912777723e+21
0.00022875000000000003	1.680832514342929e+21
0.00023	1.6700976827361756e+21
0.00023125	1.659461528905407e+21
0.0002325	1.6489657776540072e+21
0.00023375000000000002	1.6385582964488785e+21
0.00023500000000000002	1.6282864350148572e+21
0.00023625000000000002	1.618094510404411e+21
0.00023750000000000003	1.6080377421249954e+21
0.00023875000000000003	1.598080480317716e+21
0.00024000000000000003	1.5882278823735465e+21
0.00024125	1.578465681422236e+21
0.0002425	1.5688302945539551e+21
0.00024375000000000002	1.559294060291195e+21
0.00024500000000000005	1.5498595708319e+21
0.00024625	1.5405201857667518e+21
0.0002475	1.5312688276803698e+21
0.00024875	1.5221306102098276e+21
0.00025	1.5130830603453834e+21
0.00025125	1.504131285412541e+21
0.0002525	1.495271751336232e+21
0.00025375	1.4865102657444368e+21
0.000255	1.4778404647208558e+21
0.00025625	1.4692667542184156e+21
0.0002575	1.460794118765797e+21
0.00025875000000000003	1.4524053212338814e+21
0.00026000000000000003	1.4440814776787099e+21
0.00026125000000000003	1.4358695957266047e+21
0.00026250000000000004	1.4277295493696525e+21
0.00026375000000000004	1.419690017303281e+21
0.00026500000000000004	1.4117262568253542e+21
0.00026625000000000005	1.4038444334971297e+21
0.0002675	1.3960609140104555e+21
0.00026875	1.3883453175843932e+21
0.00027	1.380727462697776e+21
0.00027125	1.3731760145598385e+21
0.0002725	1.3657060703071342e+21
0.00027375	1.3583264267571178e+21
0.000275	1.3510024214013144e+21
0.00027625	1.3437893953248284e+21
0.0002775	1.336641856991057e+21
0.00027875	1.329534603219785e+21
0.00028000000000000003	1.3225450216323762e+21
0.00028125000000000003	1.315625278021078e+21
0.00028250000000000004	1.308760133839801e+21
0.00028375000000000004	1.3019801146903385e+21
0.00028500000000000004	1.2952714595400315e+21
0.00028625000000000005	1.2886384707740584e+21
0.00028750000000000005	1.282072861702886e+21
0.00028875	1.275579756429078e+21
0.00029	1.2691440801425114e+21
0.00029125	1.2627979611519407e+21
0.0002925	1.2565172755064886e+21
0.00029375	1.250299558465765e+21
0.000295	1.2441479652670943e+21
0.00029625	1.2380585602632088e+21
0.0002975	1.232054248707166e+21
0.00029875	1.2260912979852295e+21
0.00030000000000000003	1.220206861951687e+21
0.00030125000000000003	1.2143914446896725e+21
0.00030250000000000003	1.2086202987193476e+21
0.00030375000000000004	1.2029144536607134e+21
0.00030500000000000004	1.1972705932046655e+21
0.00030625000000000004	1.1917081460763882e+21
0.00030750000000000005	1.1862076330389642e+21
0.00030875000000000005	1.1807434519311284e+21
0.00031	1.1753611181075851e+21
0.00031125	1.1700476751716256e+21
0.0003125	1.1647740845974524e+21
0.00031375	1.1595614131354078e+21
0.000315	1.1544297304197842e+21
0.00031625	1.1493137593159461e+21
0.0003175	1.144280820999167e+21
0.00031875	1.139312185850455e+21
0.00032	1.1343764235962521e+21
0.00032125000000000003	1.129516707637583e+21
0.00032250000000000003	1.1247002313617603e+21
0.00032375000000000004	1.1199523103503192e+21
0.00032500000000000004	1.1152538302806866e+21
0.00032625000000000004	1.1106014744554756e+21
0.00032750000000000005	1.1060109422257587e+21
0.00032875000000000005	1.1014645658665913e+21
0.00033000000000000005	1.0969831427553479e+21
0.00033125	1.0925666941158549e+21
0.0003325	1.0882061839999583e+21
0.00033375	1.083858364940467e+21
0.000335	1.0795688156100133e+21
0.00033625	1.0753428733111182e+21
0.0003375	1.071185690169238e+21
0.00033875	1.0670674677272964e+21
0.00034	1.0630025192988588e+21
0.00034125000000000003	1.0589945830215337e+21
0.00034250000000000003	1.0550085587148453e+21
0.00034375000000000003	1.0510847445402828e+21
0.00034500000000000004	1.0472386038384886e+21
0.00034625000000000004	1.0433947264216599e+21
0.00034750000000000004	1.0396164769622958e+21
0.00034875000000000005	1.0358746736861455e+21
0.00035000000000000005	1.0321963542636188e+21
0.00035125000000000005	1.02859276074408e+21
0.0003525	1.025027369514809e+21
0.00035375	1.021467472851327e+21
0.000355	1.0179684368153204e+21
0.00035625	1.014536672038266e+21
0.0003575	1.0111429607258721e+21
0.00035875	1.0077987103059391e+21
0.00036	1.0044923901306411e+21
0.00036125	1.0012454563895104e+21
0.00036250000000000003	9.980301732447875e+20
0.00036375000000000003	9.948348048428576e+20
0.00036500000000000004	9.917250054729413e+20
0.00036625000000000004	9.886267142123378e+20
0.00036750000000000004	9.855925029999148e+20
0.00036875000000000005	9.826170816801393e+20
0.00037000000000000005	9.796691985762662e+20
0.00037125000000000005	9.767514942789209e+20
0.00037250000000000006	9.73895617014896e+20
0.00037375	9.710846072608248e+20
0.000375	9.682769452306332e+20
0.00037625	9.655451431172852e+20
0.0003775	9.628722149397741e+20
0.00037875	9.602265683944153e+20
0.00038	9.576170602353561e+20
0.00038125	9.550460870645573e+20
0.00038250000000000003	9.525312172651053e+20
0.00038375000000000003	9.50030542827761e+20
0.00038500000000000003	9.475837626487062e+20
0.00038625000000000004	9.452158558183385e+20
0.00038750000000000004	9.428421881921303e+20
0.00038875000000000004	9.40514917542631e+20
0.00039000000000000005	9.382479536351989e+20
0.00039125000000000005	9.359681219176652e+20
0.00039250000000000005	9.337996585667126e+20
0.00039375000000000006	9.316497335835155e+20
0.000395	9.294832113215126e+20
0.00039625	9.274284537388714e+20
0.0003975	9.253914199900804e+20
0.00039875	9.234108159907366e+20
0.0004	9.214286478546073e+20
0.00040125	9.195093271124371e+20
0.0004025	9.176211208206891e+20
0.00040375000000000003	9.157740453877219e+20
0.00040500000000000003	9.139679401082147e+20
0.00040625000000000004	9.121664380286386e+20
0.00040750000000000004	9.104782400166278e+20
0.00040875000000000004	9.087865051483556e+20
0.00041000000000000005	9.071338924107762e+20
0.00041125000000000005	9.054975503563192e+20
0.00041250000000000005	9.03932964799354e+20
0.00041375000000000006	9.024265814948209e+20
0.00041500000000000006	9.009037570298344e+20
0.00041625	8.994799260277354e+20
0.0004175	8.980621078968478e+20
0.00041875	8.966426665153506e+20
0.00042	8.953055818640323e+20
0.00042125	8.940259292860804e+20
0.0004225	8.927279729399006e+20
0.00042375000000000003	8.915130929172758e+20
0.00042500000000000003	8.903127225123652e+20
0.00042625000000000003	8.891429463279344e+20
0.00042750000000000004	8.880102153407284e+20
0.00042875000000000004	8.869568782651345e+20
0.00043000000000000004	8.859042636258599e+20
0.00043125000000000005	8.849238063691473e+20
0.00043250000000000005	8.839435579756119e+20
0.00043375000000000005	8.830147200738146e+20
0.00043500000000000006	8.821023823972574e+20
0.00043625000000000006	8.812637783246895e+20
0.0004375	8.804438193450068e+20
0.00043875	8.796382547683127e+20
0.00044	8.788801100239193e+20
0.00044125	8.781876372266108e+20
0.0004425	8.775198416492647e+20
0.00044375	8.769094924507133e+20
0.00044500000000000003	8.762635615456806e+20
0.00044625000000000003	8.756846873386948e+20
0.00044750000000000004	8.752083988449366e+20
0.00044875000000000004	8.747437003261794e+20
0.00045000000000000004	8.742535702045947e+20
0.00045125000000000005	8.738576707427933e+20
0.00045250000000000005	8.734705775055659e+20
0.00045375000000000005	8.73124239816936e+20
0.00045500000000000006	8.728009850027153e+20
0.00045625000000000006	8.72575081982854e+20
0.00045750000000000006	8.723315498935347e+20
0.00045875	8.721457220643024e+20
0.00046	8.719918199591755e+20
0.00046125	8.718860482371858e+20
0.0004625	8.717946254816733e+20
0.00046375	8.717769545739415e+20
0.000465	8.717674771275703e+20
0.00046625000000000003	8.718122295137734e+20
0.00046750000000000003	8.718801227615599e+20
0.00046875000000000004	8.719567965374234e+20
0.00047000000000000004	8.72163357600524e+20
0.00047125000000000004	8.72351067638663e+20
0.00047250000000000005	8.725620195912556e+20
0.00047375000000000005	8.728396928374787e+20
0.00047500000000000005	8.731411036429791e+20
0.00047625000000000006	8.734948420295157e+20
0.00047750000000000006	8.738737987222996e+20
0.00047875000000000006	8.74298527345229e+20
0.00048000000000000007	8.746856550172898e+20
0.00048125	8.752476671985288e+20
0.0004825	8.757650824587141e+20
0.00048375	8.763224492425005e+20
0.000485	8.769322558262831e+20
0.00048625000000000003	8.776091046768901e+20
0.00048750000000000003	8.782832961581066e+20
0.00048875	8.790002281440215e+20
0.0004900000000000001	8.797627594724247e+20
0.00049125	8.805971870684877e+20
0.0004925	8.814580511968227e+20
0.00049375	8.82295561513256e+20
0.000495	8.832516149498392e+20
0.0004962500000000001	8.842260142701912e+20
0.0004975	8.852429576404818e+20
0.0004987500000000001	8.8633054027305e+20
0.0005	8.874242481093932e+20
